week,dates,price_next_week,sum_c_vec,sum_tf_vec,news_price,MACD,MACD_SIGNAL,MACD_DIFF,TAS_K,TAS_D,TAS_DS,TAS_DSS,CMCI,RSI,BB_MA,BB_UPPER,BB_LOWER,BB_WIDTH,BB_PERCENT,Area Harvested_Million Acres,Area Planted_Million Acres,Average Farm Price_US Dollars/Bushel,Begining Stocks_Million Bushels,Crushing_Million Bushels,Ending Stocks_Million Bushels,Exports_Million Bushels,Imports_Million Bushels,Production_Million Bushels,Residual Use_Million Bushels,Seed Use_Million Bushels,Total demand_Million Bushels,Total Supply_Million Bushels,Yield_Bushels/Acre
 วันที่ 9 -13 กุมภาพันธ์ 2558,201507,1,115,6.063668961181255,-1,-10.6404559728,-12.772359097999999,2.1319031242,40.442610208,26.787927812,20.435945788,17.615654292,66.839964062,46.176957808,978.5925,1000.76356244,956.42143732,4.529500302600001,0.5644736016,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
วันที่ 16-20 กุมภาพันธ์ 2558 ,201508,1,107,5.812785983475985,0,-3.0228993099999997,-8.23772838925,5.2148290805,81.127346445,69.516410765,48.2362413225,39.5277427125,161.20474755,54.487059540000004,979.003125,1003.034421375,954.9718287,4.9087768257499995,0.99792196375,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
 วันที่ 23 - 27กุมภาพันธ์2558,201509,0,109,5.753888234077097,0,2.9480859426,-2.3749531298,5.323039072599999,82.485961214,78.374860022,76.218959302,72.593516158,110.10766434000001,57.756486814000006,985.9575000000001,1019.6260784,952.2889216400001,6.8270815982,0.9324721406,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
 วันที่ 2 - 6 มีนาคม 2558 ,201510,0,92,5.227960210098873,0,4.3843612784,2.5913264622,1.793034816,45.347177316,67.504068694,75.924905346,77.584576892,-46.053697922000005,49.083249478,996.3399999999999,1031.643847,961.0361529600001,7.087169133000001,0.5171020397999999,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
 วันที่ 9-13 มีนาคม 2558 ,201511,0,100,5.703614333758493,0,-1.004628461,1.145109484,-2.149737945,25.5049812116,31.172568096,43.06412641199999,50.561047698,-82.622074566,45.873990049999996,999.6600000000001,1028.8526922,970.46730778,5.8408467464,0.28032940100000003,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
 วันที่ 16 - 20 มีนาคม 2558 ,201512,1,116,5.613083984357811,-1,-7.2450273452000005,-3.152232015,-4.0927953299999995,10.080153765599999,11.4305898782,19.225160274,23.232454166,-113.049634718,39.98002146,994.9075,1032.6460964,957.16890344,7.5884853248,0.09319280199999999,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
 วันที่ 23 - 27 มีนาคม 2558 ,201513,1,95,5.475995163375958,0,-6.317437379399999,-5.7424339008,-0.5750034786,27.660818714000005,24.526315787999998,17.163985972,14.984914018000001,1.3650325925999993,46.52105924,986.7225000000001,1024.0450796,949.39992048,7.5624219634,0.3652367486,83.1,83.7,10.2,92.0,1795.0,385.0,1790.0,25.0,3969.0,24.0,92.0,3701.0,4086.0,47.8
 วันที่ 20-24 เมษายน 2558 ,201517,1,91,5.303539598961812,0,-3.0822349226,-4.887034959999999,1.8048000372000002,61.340206186,55.835051546,43.713725144,38.028164202,56.691283154,50.89399753,970.0125,990.99942678,949.02557322,4.3270930496,0.60007772,83.1,83.7,10.1,92.0,1795.0,370.0,1790.0,30.0,3969.0,38.0,98.0,3721.0,4091.0,47.8
 วันที่ 27 เมษายน-1 พฤษภาคม 2558,201518,1,112,5.578590731912161,0,-0.40692843860000005,-2.3962452098,1.9893167714,64.073875016,63.722870962,61.350935652,59.466178074000005,70.611242072,51.756767458,970.1975,990.9762905800001,949.41870942,4.2833229964,0.6440380088,83.1,83.7,10.1,92.0,1795.0,370.0,1790.0,30.0,3969.0,38.0,98.0,3721.0,4091.0,47.8
 วันที่ 4 - 8 พฤษภาคม 2558 ,201519,0,91,4.9972124703621645,0,0.8880757844,-0.40857529899999995,1.2966510834,65.11480237399999,63.741678412,64.49925179,64.472920416,30.946883819199996,52.069778740000004,970.8575000000001,990.6468166799999,951.06818332,4.0768788334,0.6997563914,83.1,83.7,10.1,92.0,1795.0,370.0,1790.0,30.0,3969.0,38.0,98.0,3721.0,4091.0,47.8
 วันที่ 18-22 พฤษภาคม 2558 ,201521,0,120,6.3264966585668745,0,-7.0164915382,-3.7540821801999997,-3.2624093576,6.0681302291999994,7.1292133104,14.6598082344,21.3174950714,-125.98775750999998,34.541075904,967.825,994.43930324,941.21069676,5.5023562362,0.0036342032000000026,83.7,84.6,9.0,350.0,1825.0,500.0,1775.0,30.0,3850.0,38.0,92.0,3729.0,4230.0,46.0
 วันที่ 25-29 พฤษภาคม 2558 ,201522,1,102,6.0717994456253095,0,-12.03374103,-8.19024725675,-3.84349377125,9.381689159,5.53544914975,5.9894641055,6.5292034797500005,-103.9735562925,31.8282828,957.4000000000001,997.0864763,917.7135237,8.290926586,0.12034952474999999,83.7,84.6,9.0,350.0,1825.0,500.0,1775.0,30.0,3850.0,38.0,92.0,3729.0,4230.0,46.0
 วันที่ 1-5 มิถุนายน 2558 ,201523,1,41,3.984172635091703,0,-10.317575656799999,-10.0736067728,-0.2439688824,25.274569883399998,17.8152848276,11.431100425,9.2151143936,6.7519269068,42.81493317,947.6025,984.03825854,911.16674146,7.6876461806,0.3660633542,83.7,84.6,9.0,350.0,1825.0,500.0,1775.0,30.0,3850.0,38.0,92.0,3729.0,4230.0,46.0
 วันที่ 8-12 มิถุนายน 2558 ,201524,1,103,6.026275769219387,0,-5.4799710022,-7.9281070388,2.4481360364,48.796602572,41.268690656000004,31.77127486,27.16266701,87.26855014200001,48.550836256000004,940.4925,962.8871151,918.0978848999999,4.7617430962,0.600390028,83.7,84.6,9.0,330.0,1830.0,475.0,1775.0,30.0,3850.0,38.0,92.0,3734.0,4210.0,46.0
 วันที่ 15-19 มิถุนายน 2558 ,201525,1,41,3.984172635091703,0,-0.6248665069999999,-4.3541498416,3.7292833344000003,81.243578542,65.041271674,54.105634824000006,49.470117863999995,137.951650626,57.047678557999994,940.0375,963.8975290599999,916.17747094,5.074308512,0.9494647432000001,83.7,84.6,9.0,330.0,1830.0,475.0,1775.0,30.0,3850.0,38.0,92.0,3734.0,4210.0,46.0
 วันที่ 22-26 มิถุนายน 2558 ,201526,1,115,6.0357454545483735,-1,8.6829645544,2.5666366384,6.1163279152,88.824244964,90.556213046,83.98710169,78.55256262,128.226102958,65.87240421199999,952.6075000000001,993.12184098,912.09315902,8.502676810599999,0.9909499140000001,83.7,84.6,9.0,330.0,1830.0,475.0,1775.0,30.0,3850.0,38.0,92.0,3734.0,4210.0,46.0
 วันที่ 29 มิถุนายน - 3 กรกฎาคม2558,201527,0,95,5.274172984671777,0,18.442574975,10.403136319249999,8.03943865575,86.2220041775,85.70103122,87.56020731,88.40420485749999,142.533500625,72.63960001000001,971.240625,1032.41702475,910.06422525,12.587297247,1.0150905875,83.7,84.6,9.0,330.0,1830.0,475.0,1775.0,30.0,3850.0,38.0,92.0,3734.0,4210.0,46.0
 วันที่ 6 - 10 กรกฎาคม2558 ,201528,1,97,5.345646935749903,0,18.515469841999998,16.101412277999998,2.4140575646,64.80620155,71.818776482,79.328963696,82.03614449199999,29.184575622,58.25590905,988.71,1055.7213562000002,921.69864364,13.557564228,0.6880266558,84.4,85.1,9.25,255.0,1840.0,425.0,1775.0,30.0,3885.0,38.0,92.0,3744.0,4170.0,46.0
 วันที่ 13-17 กรกฎาคม2558 ,201529,0,89,5.218922709668604,0,17.333536854,17.21924511,0.11429174460000002,67.74853902800001,71.528463636,69.67278172600001,70.034108392,16.5744958108,58.874669528000005,1008.175,1060.0202411999999,956.3297588199999,10.2900966286,0.6601653294000001,84.4,85.1,9.25,255.0,1840.0,425.0,1775.0,30.0,3885.0,38.0,92.0,3744.0,4170.0,46.0
 วันที่ 20 - 24 กรกฎาคม2558 ,201530,0,91,5.11969343603985,0,10.8007316142,14.368513336000001,-3.5677817220000003,37.3799509452,49.589550372000005,60.444002372,64.38763935,-59.3780845938,52.03774615,1017.9174999999999,1054.6088842000001,981.2261158199999,7.2100698998,0.3809551688,84.4,85.1,9.25,255.0,1840.0,425.0,1775.0,30.0,3885.0,38.0,92.0,3744.0,4170.0,46.0
 วันที่ 27-31 กรกฎาคม2558,201531,0,106,5.766511486405454,1,-0.6524894004,6.644100415,-7.2965898154,19.2273625376,20.758054592,31.327506579999998,37.256685735999994,-127.42493278399999,43.082234884,1012.4325000000001,1055.7164086,969.1485915200001,8.550278297599998,0.10192640659999999,84.4,85.1,9.25,255.0,1840.0,425.0,1775.0,30.0,3885.0,38.0,92.0,3744.0,4170.0,46.0
 วันที่ 3-7 สิงหาคม2558 ,201532,0,111,6.141263490611417,1,-9.2873451378,-2.3628357303999996,-6.9245094068,15.9120879134,17.21618395,18.050942342000003,18.957147323999997,-98.479482644,40.517668346,998.2924999999999,1053.7381514,942.8468485000001,11.110039231,0.1263386396,84.4,85.1,9.25,255.0,1840.0,425.0,1775.0,30.0,3885.0,38.0,92.0,3744.0,4170.0,46.0
 วันที่ 10-14 สิงหาคม2558 ,201533,0,94,5.398324713522484,0,-10.0288318514,-7.005633521999999,-3.0231983298,28.3666725594,30.478982295999998,24.632733632,22.190438752,-45.946350257999995,44.400102788000005,983.5049999999999,1038.6741936,928.33580638,11.222662396,0.24080230660000002,83.5,84.3,9.15,240.0,1860.0,470.0,1725.0,30.0,3916.0,40.0,92.0,3717.0,4186.0,46.9
 วันที่ 17-21 สิงหาคม2558 ,201534,0,100,4.975688269324769,1,-19.373373728,-13.600356624,-5.7730171016,9.0469623454,11.9153401512,20.212288846,23.501360014,-103.770364008,38.39234232,960.3825,1020.9691696,899.79583038,12.617322013999999,0.1188716468,83.5,84.3,9.15,240.0,1860.0,470.0,1725.0,30.0,3916.0,40.0,92.0,3717.0,4186.0,46.9
 วันที่ 24-28 สิงหาคม2558 ,201535,0,94,5.432957160687945,0,-24.968821671999997,-20.210690154,-4.75813152,10.9594095962,10.5664354464,10.2247841494,10.777660522,-101.225389576,36.063414248,938.1299999999999,1006.77865564,869.4813445399999,14.637995472,0.1407895658,83.5,84.3,9.15,240.0,1860.0,470.0,1725.0,30.0,3916.0,40.0,92.0,3717.0,4186.0,46.9
 วันที่ 31 สิงหาคม-4 กันยายน 2558,201536,0,94,5.2613486804348835,0,-25.508354857999997,-23.727373044,-1.7809818142,6.3249010974,9.307932218400001,10.3131022712,10.4775101758,-105.76721171199999,35.599092580000004,917.7524999999999,989.47563286,846.0293671399999,15.631406301999998,0.21166851339999998,83.5,84.3,9.15,240.0,1860.0,470.0,1725.0,30.0,3916.0,40.0,92.0,3717.0,4186.0,46.9
 วันที่ 7-11 กันยายน 2558 ,201537,1,93,5.5494206247192315,0,-23.7504473875,-24.3821417575,0.6316943745,13.27464178675,6.8907389505,7.06588494775,7.806862112,-69.97845211250001,37.85079145,895.859375,939.9827332,851.7360168,9.844853042,0.2610929225,83.5,84.3,9.15,210.0,1870.0,450.0,1725.0,30.0,3935.0,38.0,92.0,3725.0,4175.0,47.1
 วันที่ 14 - 18 กันยายน 2558 ,201538,0,96,5.589236169100101,0,-17.400531228,-21.207029006,3.8064977794,39.97627018,31.81364543,19.8921190612,15.2486407254,45.813732058,42.036297796,885.79,913.71641372,857.8635862799999,6.3029117444,0.4264065306,83.5,84.3,9.15,210.0,1870.0,450.0,1725.0,30.0,3935.0,38.0,92.0,3725.0,4175.0,47.1
 วันที่ 21 - 25 กันยายน 2558,201539,1,91,5.4990569867358525,0,-14.683152654,-17.256863818,2.573711161,38.09870393,33.258367806,35.45792942,34.755298138,-65.46090314199999,40.856201592000005,878.28,897.741559,858.818441,4.4318902302,0.32037584920000006,83.5,84.3,9.15,210.0,1870.0,450.0,1725.0,30.0,3935.0,38.0,92.0,3725.0,4175.0,47.1
 วันที่ 28 กันยายน - 2 ตุลาคม 2558,201540,1,85,4.973827452229094,0,-9.114041493,-13.030643620000001,3.9166021258,59.716769795999994,56.9536585,44.952554518,40.526771474,41.399728669999995,46.911273088,876.485,894.1425914399999,858.82740856,4.029138901800001,0.6274841158,83.5,84.3,9.15,210.0,1870.0,450.0,1725.0,30.0,3935.0,38.0,92.0,3725.0,4175.0,47.1
 วันที่ 5-9 ตุลาคม 2558 ,201541,1,31,3.3648168345862453,0,-4.815435691199999,-8.3621941918,3.5467585014000003,66.21584227,62.392086201999994,61.89791888800001,60.60864676799999,62.230018206,49.561630314,879.0600000000001,896.92541546,861.1945845399999,4.064587338,0.695708838,82.4,83.2,9.15,191.0,1880.0,425.0,1675.0,30.0,3888.0,38.0,92.0,3685.0,4109.0,47.2
 วันที่ 12 - 16 ตุลาคม 2558 ,201542,0,31,3.3648168345862453,0,0.7547007124,-3.5373698348000007,4.292070547,78.326585694,73.874846832,68.545350524,66.323620678,150.70099631199997,55.775347288,882.7850000000001,907.5618626400001,858.00813736,5.6118989338,0.905803738,82.4,83.2,9.15,191.0,1880.0,425.0,1675.0,30.0,3888.0,38.0,92.0,3685.0,4109.0,47.2
 วันที่ 19-23 ตุลาคม 2558 ,201543,0,31,3.3648168345862453,0,2.6206149670000003,0.48913508419999996,2.131479883,60.726779607999994,66.913748148,72.234217718,73.23029679,25.089297694000003,52.120553445999995,889.4925,913.4511832000001,865.5338168000001,5.388242232800001,0.6640353708,82.4,83.2,9.15,191.0,1880.0,425.0,1675.0,30.0,3888.0,38.0,92.0,3685.0,4109.0,47.2
 วันที่ 26 - 30 ตุลาคม 2558 ,201544,0,87,5.08437886737122,0,0.11858642900000001,0.9896365749999999,-0.8710501462,29.73791438,43.540287566,54.34835467199999,58.844525997999995,-106.61329929000001,46.048253496,892.3399999999999,912.9920922199999,871.68790778,4.628775044199999,0.2996852294,82.4,83.2,9.15,191.0,1880.0,425.0,1675.0,30.0,3888.0,38.0,92.0,3685.0,4109.0,47.2
 วันที่ 2-6 พฤศจิกายน 2558,201545,0,99,5.912503105031033,0,-3.3037663283999996,-1.186709508,-2.1170568204,14.5567749316,19.659859546,27.436169794,32.423025076,-110.507871838,42.862072214,891.25,913.8412687399999,868.6587312600001,5.0700824004000005,0.1396366964,82.4,83.2,9.15,191.0,1880.0,425.0,1675.0,30.0,3888.0,38.0,92.0,3685.0,4109.0,47.2
 วันที่ 9-13 พฤศจิกายน 2558,201546,0,87,5.115201230347028,0,-7.427983977399999,-4.5528747502,-2.8751092272000003,13.3127384804,13.130171379999998,14.651339748000002,16.14310542,-120.47066462800001,38.430437233999996,883.5925,912.2462397400001,854.93876026,6.4859913604,0.0916012972,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 16 - 20 พฤศจิกายน2558,201547,1,86,5.614246596991981,0,-8.3175328978,-7.067586242999999,-1.2499466548,16.872506578,15.65522789,14.433661796,13.992701221999999,-64.168914024,41.074446988,873.5899999999999,900.21658456,846.9634154400001,6.094025668,0.2402902054,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 23-27 พฤศจิกายน2558,201548,1,31,3.3648168345862453,0,-6.053162914750001,-7.0834761317499995,1.0303132175,52.1836007125,32.1184534425,22.1568348275,19.23180154,111.07200822499999,48.50466657,867.340625,886.65889905,848.02235095,4.45430274475,0.55350042975,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 30 พฤศจิกายน-4 ธันวาคม2558 ,201549,0,91,5.264390029892909,0,0.6568613818,-3.6060438167999997,4.2629051986,93.17442293399999,76.849914128,57.012776478,47.711698816,162.23307101999998,61.99292070599999,867.9950000000001,890.40562918,845.58437082,5.16227939,1.0528172878,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 7-11 ธันวาคม2558 ,201550,0,88,5.486589126409934,0,2.6587217908,0.7663874478,1.8923343432,49.923664124,70.29400166799999,80.332890496,80.422099678,2.4590115700000013,49.119753916,872.6850000000001,901.5497167400001,843.82028326,6.615359832999999,0.5723616318,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 14-18 ธันวาคม2558,201551,1,84,4.77070867240247,0,-0.2354981952,0.5625046194000001,-0.798002814,46.412213742,43.709923662,50.747072618,56.593745664000004,-70.21565378,48.428112106,875.9725000000001,901.499278,850.445722,5.828419439399999,0.47805612340000003,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 21-25 ธันวาคม2558 ,201552,0,91,5.484126448105393,0,1.6299707225,0.8148635525,0.81510717025,53.9254783825,56.3410981425,49.10789717,46.804230995,46.55543900475,52.737485065,880.8125,902.620028275,859.0049717249999,4.95189520025,0.552519514,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 28-30 ธันวาคม2558 ,201553,0,74,4.256859068560243,0,-0.56447771,0.4274458185,-0.9919235285,29.4843049325,37.937562045,48.991561975,51.3211640925,-48.626030997499996,46.20373909,880.10625,902.048980175,858.163519825,4.9863586904999995,0.27950993575,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 4-8 มกราคม2559 ,201601,1,86,4.724224720106728,0,-3.4442121236,-1.5060749232,-1.9381372004,19.790510473,21.685126058,27.626846974,31.905607055999997,-91.006849028,43.162119866,873.9275,893.8250520199999,854.02994798,4.553254584399999,0.1925700216,82.4,83.2,8.9,191.0,1890.0,465.0,1715.0,30.0,3981.0,41.0,92.0,3738.0,4203.0,48.3
 วันที่ 11-15 มกราคม2559 ,201602,1,86,4.774841688881301,0,-2.0393894602,-2.454463282,0.41507382139999993,52.881355932,38.588270588,28.376471936,25.58932433,62.060223703999995,52.007142328,872.2,892.531474,851.868526,4.6620843484,0.5770031112,81.8,82.7,8.8,191.0,1890.0,440.0,1690.0,30.0,3930.0,39.0,92.0,3711.0,4150.0,48.0
 วันที่ 18-22 มกราคม2559,201603,0,97,5.7969274490085265,0,0.72523543775,-0.81767650125,1.54291193875,62.2996321125,62.5187229025,54.362961505,48.566976495,78.14433694,52.6699655525,872.675,891.0346586000001,854.3153414,4.20734363175,0.6469978675,81.8,82.7,8.8,191.0,1890.0,440.0,1690.0,30.0,3930.0,39.0,92.0,3711.0,4150.0,48.0
